Filename,Indiconformer_Hypothesis,character_list
5348024557502740_f961_chunk_0_subchunk_1_QC1_1_format_conversion.wav,वह राजनीति से संबंधित एक स्मानित परिवार से थे खासकर जबसे उनके पिता हैरात के राज्यपाल होने के नाते अफगानों की रक्षा करते हुए लड़ाई में मारे गए थे,"['े', 'म', 'ी', '़', 'य', 'ए', 'ब', 'ं', 'ै', 'ष', 'उ', 'ख', ' ', 'ह', 'स', 'फ', '्', 'प', 'न', 'अ', 'ई', 'थ', 'व', 'ु', 'ज', 'ल', 'ो', 'ध', 'क', 'ा', 'ि', 'ड', 'र', 'त', 'ग']"
5348024557503255_f588_chunk_8_subchunk_1_QC1_3_sample_rate_reduction.wav,यहाँ पर कोई एक्जीबिशन सेंटर्स हैं ऑडिटोरियम्स ैं औ,"['े', 'ट', 'म', 'ी', 'य', 'ए', 'ब', 'ं', 'ै', 'श', 'ँ', ' ', 'ह', 'स', '्', 'प', 'न', 'ई', 'ज', 'ो', 'ऑ', 'औ', 'क', 'ा', 'ि', 'ड', 'र']"
5348024557502897_f251_chunk_14_subchunk_1_QC1_1_format_conversion.wav,इस प्रोजेक्ट के माध्यम से मुंबई क लोगों को बेहतर इंफ्रास्ट्रक्चर और आरमदायक,"['े', 'ट', 'म', 'य', 'इ', 'ब', 'ं', 'च', ' ', 'स', 'ह', 'फ', '्', 'प', 'ई', 'आ', 'ु', 'ज', 'ल', 'ो', 'ध', 'औ', 'क', 'ा', 'द', 'र', 'त', 'ग']"
5348024557502913_f1625_chunk_0_subchunk_1_QC1_1_format_conversion.wav,आश्रम में विभिन्न मंदिर भी है और ध्यान और आध्यात्मिक राहत के लिए एक बहुत अच्छी जगह है,"['े', 'म', 'ी', 'य', 'ए', 'ब', 'ं', 'ै', 'श', 'च', ' ', 'ह', '्', 'न', 'अ', 'आ', 'व', 'ु', 'ल', 'ज', 'ध', 'औ', 'क', 'भ', 'छ', 'द', 'ा', 'ि', 'र', 'त', 'ग']"
5348024557502866_f1650_chunk_0_subchunk_1_QC1_1_format_conversion.mp3,शेकबॉस पास्ता और पीजा सॉस वापस करने की प्रक्रिया क्या है,"['े', 'ी', 'य', 'ब', 'ै', 'श', 'स', ' ', 'ह', '्', 'ॉ', 'न', 'प', 'व', 'ज', 'औ', 'क', 'ा', 'ि', 'र', 'त']"
5348024557502907_f252_chunk_2_subchunk_1_QC1_1_format_conversion.mp3,जो विभिन्न शैक्षिक पाठ्यक्रमों को प्रदान करते हैं,"['े', 'म', 'य', 'ं', 'ै', 'श', 'ष', ' ', 'ह', '्', 'प', 'न', 'ठ', 'व', 'ज', 'ो', 'क', 'भ', 'ा', 'द', 'ि', 'र', 'त']"
5348024557503363_f458_chunk_3_subchunk_1_QC1_3_sample_rate_reduction.wav,पहले दो कप्पानी आड़ किया न अभी दो खप दूध एड करके उसे दुभाछूटा दो बार उबलने देंगे अर दो बार उबलने पर उसे ऑफ करके फिल्सम में फिलकर करके अगर थोड़ासा और चीनी चाहिए तो थोड़ासा चीनी ढाल के,"['े', 'ट', 'म', 'ी', '़', 'य', 'ए', 'ब', 'ं', 'उ', 'च', 'ख', ' ', 'ह', 'स', 'फ', '्', 'प', 'न', 'अ', 'ढ', 'आ', 'थ', 'ु', 'ल', 'ो', 'ध', 'ऑ', 'औ', 'क', 'भ', 'छ', 'द', 'ा', 'ि', 'ू', 'ड', 'र', 'त', 'ग']"
5348024557502897_f251_chunk_4_subchunk_1_QC1_1_format_conversion.wav,जो महाराष्ट्र में पर्यटन और उद्योगों को बढ़ावा देने के लिए लिए महत्वपूर्ण हो सकता है इस विमान का नाम है सीहैरीय र जल और आकाश में यात्रा के लिए उपयुक्त होगा,"['े', 'ट', 'म', 'ी', '़', 'य', 'ए', 'इ', 'ब', 'ं', 'ै', 'श', 'ष', 'उ', ' ', 'ह', 'स', '्', 'प', 'न', 'ढ', 'आ', 'व', 'ु', 'ज', 'ल', 'ो', 'ण', 'औ', 'क', 'ा', 'द', 'ि', 'ू', 'र', 'त', 'ग']"
5348024557503298_f741_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,अमेरिका चाइना जापान नेपान पाकिस्तान भूटान,"['े', 'ट', 'म', 'इ', 'च', ' ', 'स', '्', 'प', 'न', 'अ', 'ज', 'क', 'भ', 'ा', 'ि', 'ू', 'र', 'त']"
5348024557503716_f15_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,बचपन में तो बहुत सारी गेम्स थी जो हम खेलते थे अब तो कुछ मेको यादबिनी और कछ कुछ जो मुझे याद है जब हमरे समर ब्रेक्स पड़ती थी गर्मियों की जो यहां छुट्टियाँ पढ़ती हैं अब तो थोड़ी कम होगी हमारे टाइम तो पड़ती थी दो महीने की छुट्टियाँ,"['े', 'ट', 'म', 'ी', '़', 'य', 'इ', 'ब', 'ं', 'ै', 'ँ', 'च', 'ख', ' ', 'ह', 'स', '्', 'प', 'न', 'अ', 'ढ', 'थ', 'ु', 'झ', 'ज', 'ल', 'ो', 'औ', 'क', 'छ', 'ा', 'द', 'ि', 'ड', 'र', 'त', 'ग']"
5348024557503451_f1329_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,उन सभी टीकाकरण केंड्रों को फिल्टर करें जो सशुल्क हैं और पहली डोज देते हैं,"['े', 'ट', 'ी', 'त', 'ं', 'ै', 'श', 'उ', ' ', 'स', 'ह', 'फ', '्', 'प', 'न', 'ु', 'ल', 'ज', 'ो', 'औ', 'क', 'भ', 'ा', 'द', 'ि', 'ड', 'र', 'ण']"
5348024557503656_f273_chunk_2_subchunk_1_QC1_5_upsampling_simulation.wav,बड़ा होता है और फिर उसके बाद क्या होता है मतलब वो बेसिकली एक जिंदगी का एक मतलब डेविड कॉपरफील के जिंदगी के ऊपर,"['े', 'म', 'ी', '़', 'य', 'ए', 'ब', 'ं', 'ै', 'ऊ', 'उ', ' ', 'ह', 'स', 'फ', '्', 'ॉ', 'प', 'व', 'ल', 'ज', 'ो', 'औ', 'क', 'ा', 'द', 'ि', 'ड', 'र', 'त', 'ग']"
5348024557502784_f400_chunk_15_subchunk_1_QC1_1_format_conversion.wav,और मुझे ऐसा लगता है कि ये एक ताकत है कला के अंदर कि वो तुम्हें किसी सुंदर,"['े', 'म', 'ी', 'य', 'ए', 'ं', 'ै', ' ', 'स', 'ह', 'ऐ', '्', 'अ', 'व', 'ु', 'झ', 'ल', 'ो', 'औ', 'क', 'ा', 'द', 'ि', 'र', 'त', 'ग']"
5348024557503536_f353_chunk_2_subchunk_1_QC1_4_silence_insertion.wav,जिसे यूनेस्को ने बयो रिजर्व,"['े', 'क', 'र', 'ि', 'व', 'ू', 'स', ' ', 'य', 'ज', '्', 'ब', 'न', 'ो']"
5348024557503661_f632_chunk_2_subchunk_1_QC1_5_upsampling_simulation.wav,इतनी सारी यूनिवर्सिटीज हैं,"['ै', 'ट', 'ी', 'ा', 'ं', 'ि', 'व', 'ू', ' ', 'स', 'य', 'ह', 'र', 'इ', '्', 'न', 'त', 'ज']"
5348024557503484_f209_chunk_8_subchunk_1_QC1_4_silence_insertion.wav,फिर भी मुझे लगता है आज भी गांवं में ये सारी जो भी परथाएं हैं वो अभी तक चल रही हैं,"['े', 'म', 'ी', 'य', 'ए', 'ं', 'ै', 'च', ' ', 'ह', 'स', 'फ', 'प', 'अ', 'आ', 'थ', 'व', 'ु', 'झ', 'ज', 'ल', 'ो', 'क', 'भ', 'ा', 'ि', 'र', 'त', 'ग']"
5348024557503549_f580_chunk_6_subchunk_1_QC1_4_silence_insertion.wav,जब तक अब ई यहां तक कि मेरी दादी मां भी जब तक व वो किसी,"['े', 'म', 'ी', 'य', 'ब', 'ं', ' ', 'ह', 'स', 'अ', 'ई', 'व', 'ज', 'ो', 'क', 'भ', 'ा', 'द', 'ि', 'र', 'त']"
5348024557502778_f403_chunk_17_subchunk_1_QC1_1_format_conversion.wav,कपड़े पहने का जो तरीका है वो ज्यादा बढ़ता हुआ दिखाई दे रहै जो कि,"['े', 'ी', '़', 'य', 'ब', 'ै', 'ख', ' ', 'ह', '्', 'प', 'न', 'ढ', 'ई', 'आ', 'व', 'ु', 'ज', 'ो', 'क', 'ा', 'द', 'ि', 'ड', 'र', 'त']"
5348024557503428_f206_chunk_6_subchunk_1_QC1_4_silence_insertion.wav,हेल्थकेयर,"['े', 'क', 'र', 'थ', 'ह', 'य', 'ल', '्']"
5348024557503365_f365_chunk_4_subchunk_1_QC1_3_sample_rate_reduction.wav,जोभी बाल्यू सम सीड़ कड़ रहे हैं उसकी वजह से पेंटिंग तो बन जाता था और,"['े', 'ट', 'म', 'ी', '़', 'य', 'ब', 'ं', 'ै', 'उ', ' ', 'स', 'ह', '्', 'प', 'न', 'थ', 'व', 'ज', 'ल', 'ो', 'औ', 'क', 'भ', 'ा', 'ि', 'ू', 'ड', 'र', 'त', 'ग']"
5348024557502778_f403_chunk_5_subchunk_1_QC1_1_format_conversion.wav,पहले उन कपड़ों को ज्यादा महत्वदीया दिया करते थे जो बहुत अच्छे क्वालिटी के है बहुत अच्छा,"['े', 'ट', 'म', 'ी', '़', 'य', 'ब', 'ं', 'ै', 'उ', 'च', ' ', 'ह', '्', 'प', 'न', 'अ', 'थ', 'व', 'ु', 'ल', 'ज', 'ो', 'क', 'छ', 'ा', 'द', 'ि', 'ड', 'र', 'त']"
5348024557502910_f242_chunk_1_subchunk_1_QC1_1_format_conversion.mp3,पद्धतिवाली प्रोफाइल बनाने वाले देशों के स्टाम थे उन्हें इकट्ठा करते करने के समय मुझे काफी गर्भ महसूस हो रहा था,"['े', 'ट', 'म', 'ी', 'य', 'इ', 'ब', 'ं', 'श', 'उ', ' ', 'स', 'ह', 'फ', '्', 'प', 'न', 'ठ', 'थ', 'व', 'ु', 'झ', 'ल', 'ो', 'ध', 'क', 'भ', 'द', 'ा', 'ि', 'ू', 'र', 'त', 'ग']"
5348024557503661_f632_chunk_4_subchunk_1_QC1_5_upsampling_simulation.wav,कॉलेजर यूनिवर्सिटीज है स्कूल की अगर बात किया जाए तो बहुत अच्छे अच्छे बैंगॉल मीडियम स्कूलस सी है जैसे नवनालअंदा साउथ प्ॉइंट,"['े', 'ट', 'म', 'ी', 'य', 'ए', 'इ', 'ब', 'ं', 'ै', 'उ', 'च', ' ', 'स', 'ह', '्', 'ॉ', 'न', 'प', 'अ', 'थ', 'व', 'ु', 'ज', 'ल', 'ो', 'क', 'छ', 'ा', 'द', 'ि', 'ू', 'ड', 'र', 'त', 'ग']"
5348024557502910_f242_chunk_0_subchunk_1_QC1_1_format_conversion.wav,मेरे पहले संग्रहित किे गए स्टाप एक छोटीसी संगठनी,"['े', 'ट', 'म', 'ी', 'ए', 'ं', ' ', 'ह', 'स', '्', 'प', 'न', 'ठ', 'ल', 'ो', 'क', 'छ', 'ा', 'ि', 'र', 'त', 'ग']"
5348024557502845_f262_chunk_0_subchunk_1_QC1_1_format_conversion.mp3,सकाल बात् परंपरा को इतना स्टीकली फॉलो नहीं करते हैं,"['े', 'ट', 'ी', 'इ', 'ब', 'ं', 'ै', 'स', ' ', 'ह', 'फ', '्', 'प', 'न', 'ॉ', 'ल', 'ो', 'क', 'ा', 'र', 'त']"
