filename,ground_truth,vocab_list
5348024557507376_f754_chunk_2_subchunk_1.wav,chin कन के पास खेल को पहुँचने के लिए जागरूकता कार्यक्रम भी आयोजित करता during है,"['during', 'chin', 'जागरूकता', 'कार्यक्रम', 'आयोजित', 'खेल', 'को', 'के', 'पहुँचने', 'लिए', 'है', 'कन', 'भी', 'करता', 'पास']"
5348024557507379_f2201_chunk_0_subchunk_1.wav,जब आप वार्षिक विवरण पढ़ते हैं हैं विशेष रूप से यदि आप कम्पनी से aprichit हैं तब आपको यहाँ से शुरुआत krnee चाहिए,"['जब', 'कम्पनी', 'aprichit', 'रूप', 'आप', 'विवरण', 'तब', 'वार्षिक', 'पढ़ते', 'विशेष', 'से', 'यदि', 'यहाँ', 'शुरुआत', 'krnee', 'आपको', 'चाहिए', 'हैं']"
5348024557507383_f913_chunk_0_subchunk_1.wav,जितनी जल्दी हो सके ऑर्डर तैयार तैयार करो,"['तैयार', 'ऑर्डर', 'करो', 'जितनी', 'जल्दी', 'हो', 'सके']"
5348024557507385_f912_chunk_0_subchunk_1.wav,से ताज़ा ख़बर क्या,"['से', 'ताज़ा', 'क्या', 'ख़बर']"
5348024557507386_f1627_chunk_0_subchunk_1.wav,मुझे प्राप्त दो पाउच [Pouch] त्रेहा सैलेक्ट [Select] पैरि [Peri] पैरि [Peri] चीकन [Chicken] वींग्स [Wings] के ऑर्डर [Order] में मात्रा सही नहीं है,"['ऑर्डर', 'पाउच', 'सैलेक्ट', 'चीकन', '[Chicken]', 'दो', 'त्रेहा', 'है', 'में', 'सही', '[Wings]', '[Peri]', 'नहीं', 'के', '[Select]', 'मात्रा', 'वींग्स', 'मुझे', '[Pouch]', 'पैरि', 'प्राप्त', '[Order]']"
5348024557507389_f1880_chunk_0_subchunk_1.wav,क्रेयॉ[START]न<b> [#$%Crayon] के ऑफ़र [Offer] वाल</b>े सभी ब्रांडों की सूची बनाएँ,"['वाल</b>े', 'सभी', 'ब्रांडों', 'ऑफ़र', '[Offer]', 'के', '[#$%Crayon]', 'क्रेयॉ[START]न<b>', 'की', 'बनाएँ', 'सूची']"
5348024557507390_f1881_chunk_0_subchunk_1.wav,एयरटेल मनी पर मेरी[START] संपर्क#$% सूची के,"['मनी', 'मेरी[START]', 'के', 'सूची', 'एयरटेल', 'पर', 'संपर्क#$%']"
5348024557507393_f2141_chunk_0_subchunk_1.wav,यह बिल्कुल गलत है।।करें स्कैन को कोड आर क्यू लिए के करने,"['करने', 'है।।करें', 'कोड', 'बिल्कुल', 'स्कैन', 'को', 'आर', 'क्यू', 'के', 'यह', 'लिए', 'गलत']"
5348024557507394_f1064_chunk_0_subchunk_1.wav,सात तीन एक छः शून्य तीन पाँच आठ शून्य दो शून्य सात शून्य दो शून्य दो एम हेच डी आई आवेदन पंजीकृत।यह बिल्कुल गलत है। एकदम सही बात है,"['एक', 'पाँच', 'आई', 'आवेदन', 'आठ', 'बात', 'डी', 'एकदम', 'सात', 'दो', 'हेच', 'है', 'सही', 'छः', 'बिल्कुल', 'है।', 'शून्य', 'पंजीकृत।यह', 'एम', 'तीन', 'गलत']"
5348024557507394_f1064_chunk_1_subchunk_1.wav,और जन्मतिथि system बारह पाँच दो हज़ार बाईस के लिए सभी ताजा छात्रवृत्ति आवेदन ढूंढ़ें एकदम सही बात है,"['पाँच', 'सभी', 'आवेदन', 'लिए', 'बात', 'ढूंढ़ें', 'एकदम', 'दो', 'system', 'है', 'सही', 'छात्रवृत्ति', 'जन्मतिथि', 'बाईस', 'ताजा', 'के', 'और', 'हज़ार', 'बारह']"
