Filename,Transcription,Is_Devanagari
5348024557504231_f731_chunk_4_subchunk_1_QC1_1_format_conversion_QC1_5_upsampling_simulation.wav,काफी कोशिश लोग उसके बारे में करते हैं मेरे कई मित्रों के यहाँ पर मैं यह देखता हूँ तब मुझे लगता है कि वो जैसे कि उनके घर के बच्चे जितना ही सलमान,True
5348024557503765_f215_chunk_18_subchunk_1_QC1_1_format_conversion_QC1_4_silence_insertion.wav,यहाँ कोई हिन्दी भाषामें कहा नी लिखना हो की याँ कई भाषा हिन्दी भाषा में कविता ह कविता अरचना कविता यी लिखना हो,True
5348024557504706_f525_chunk_13_subchunk_1_QC1_1_format_conversion_QC1_4_silence_insertion.wav,और बाकी हम लोग सर्दियों में लगाते हैं टमाटर मटर भिन्न,True
5348024557503788_f1105_chunk_0_subchunk_1_QC1_1_format_conversion_QC1_3_sample_rate_reduction.wav,क्या तुम एक खेल खेलना चाहते हो,True
5348024557504175_f586_chunk_8_subchunk_1_QC1_1_format_conversion_QC1_5_upsampling_simulation.wav,लेकिन पार्टिसिपेट नहीं क्या और देखने की एक्स्पीरिेंस की बात करें तो रेश देखने का एक्सपीरेंस काफी थरीलिंग होता है वो सबको पता है,True
5348024557503973_f2075_chunk_0_subchunk_1_QC1_1_format_conversion_QC1_5_upsampling_simulation.wav,मोबाइल नम्बर के लिए उमंग में लॉगिन करने के लिए ओटीपीय ून्य है,True
5348024557504231_f731_chunk_8_subchunk_1_QC1_1_format_conversion_QC1_5_upsampling_simulation.wav,इसी तरह से ये खाना यह नहीं खाना इतना ही खाना एतिये पीना वगैरा,True
5348024557503939_f356_chunk_2_subchunk_1_QC1_4_silence_insertion_QC1_5_upsampling_simulation.wav,और जो लोग हिंदी क्षेत्र से आते हैं यहाँ पर,True
5348024557504231_f731_chunk_11_subchunk_1_QC1_1_format_conversion_QC1_4_silence_insertion.wav,लेकिन न उसको मैं मेरे घर के घरपे लाऊ और उसके साथ मैं,True
5348024557504411_f143_chunk_2_subchunk_1_QC1_3_sample_rate_reduction_QC1_4_silence_insertion.wav,हीप हे जो बड़े व्यापहरी होते हैं वो उस एग्निस प्रोडक्ट का,True
5348024557503773_f376_chunk_16_subchunk_1_QC1_1_format_conversion_QC1_3_sample_rate_reduction.wav,ैसा लोनी ये पहाड़ जो पहाड़ हमलोग पहाड़े केलंबुन डिस्ट्रिक कदात कर दाऊँ,True
5348024557504075_f1659_chunk_0_subchunk_1_QC1_1_format_conversion_QC1_5_upsampling_simulation.wav,भारत की स्वतंत्रता और रियासतों के अन्मूलन के बाद वह स्वतंत्रपार्टी में एक सफल राजनीतिक बन गए,True
5348024557504233_f168_chunk_29_subchunk_1_QC1_1_format_conversion_QC1_4_silence_insertion.wav,किसी को नीचा दिखा करकर हंसना बड़ी बात नहीं है लेकिन बड़ी बात यह है कि आप अपने आप को नीचा देखा करके लोगों को हंसा ओ और वो अगर आप लोगों के सामने तमाशा बन करके आओ मैं नाटक से जुड़ा हूँ इसलिए मैं बारबार यह करता भी हूं तो हस्य का,True
5348024557504754_f596_chunk_0_subchunk_1_QC1_1_format_conversion_QC1_3_sample_rate_reduction.wav,भारत के प्रधानमंत्री नरेंद्र मोदी की हाल ही में अमरीका चकराए और अमरीका के साथ उन्होंने बहुत से समझौते कर लिए हैं उसमें से डिफेंस का हैस्पेस का है हायटेक क है,True
5348024557503765_f215_chunk_44_subchunk_1_QC1_1_format_conversion_QC1_5_upsampling_simulation.wav,और फोट कर रहा है कि हिनदी भाषा को षसंरक्षण करने के लिए कर रहा है जैसेकि,True
5348024557503762_f377_chunk_0_subchunk_1_QC1_3_sample_rate_reduction_QC1_4_silence_insertion.wav,इंडोनेशिया,True
5348024557504220_f169_chunk_9_subchunk_1_QC1_3_sample_rate_reduction_QC1_4_silence_insertion.wav,और मुझे वही पुरानी पद्धति का प्रोजेक्शन से काम करना पड़ेगा होता है,True
5348024557503968_f1119_chunk_0_subchunk_1_QC1_1_format_conversion_QC1_5_upsampling_simulation.wav,का्ट में योस्विटा न्यूट्रिशेक न्यूट्रिशन सप्लीमेंट एपिटेज चिप्स और बीबी रॉयल किश्मिश भंडार में नहीं है,True
