Filename,ground_truth,Is_Devanagari
,बोले एक छोटे बच्चे को तुम नहीं समझा सकते हो,True
,bole नहीं,False
,आजकल लेकिन थे समझते पहले हम किताब हुआ किया</b> [Print],False
,तो<b> वह ज़[START]्यादा देर,False
,for example भौतिक पुस्तक,False
,यह बिल्कुल गलत है।।है लगता अच्छा ज़्यादा,True
,पुस्तक ऑडियो ऑडि</b>यो है सुन#$%ा बुक ऑडियो <b>म[START]ैंने हाँ।यह बिल्कुल for example गलत है।,False
,यह बिल्कुल गलत है।।उसमें क्योंकि है लगता,True
,during से,False
,चीज़ों क[START]<b>ो दर्शाया जा स</b>कता#$% है,False
,लेकिन मुझे किताबें पढ़ना ऑडीयौ [Audio] बुक [Book] और ई-बूक [E-Book] से ज्यादा पसंद है,False
,इलेक्ट्रॉनिक किताब भी आने लगे हैं या जिसे हम please note बोलते हैं पुस्तक ई किताब ऐसे बोलते,False
,डिजिटल पुस्तक system है इन्हें हम मोबाइल फ़ोन ya कम्[S<b></b>TART]प्यूटर माध्यम माध्यम से पढ़ सकते एकदम सही बात ह#$%ै,False
,यह बिल्कुल गलत है।।है पढ़ा पुस्तक का तरह donon बुक्स ई aur पुस्तक भौतिक है पढ़ा पुस्तक पुस्तक का तरह दोनों मैंने,False
,पढ़ते हम जब लेकर में हाथ पुस्तक भौतिक क्योंकि हूँ करती पसंद,True
,त<b></b>ो वह एक अल[STAR#$%T]ग ही अनुभव होता है,False
,यह bilkul गलत है।।हम वह है हुआ दिया जो में,False
,कल्पना करते हैं,True
,और पुस्तक हाथ में होता,True
,लेकिन जब हम ई-बुक [E-Book] पढ़ते हैं तो हम एक मौबाइल [Mobile] फ़ौन [Phone] या कम्प्यूटर [Computer] स्क्रिन [Screen],False
,मुझे गाना सुनना बहुत पसंद है गाना सुनकर उसके बोल याद रख कर फिर उस गाने को गुनगुनाना मुझे बहुत पसंद #$%है इस मैं तो ज़्या</b>दा[START]तर हिंदी सिनेमा स<b>िनेमा के गाने और भजन गाना पसंद करती हूँ एकदम सही बात है,False
,ज़्यादातर</b> मैं जब रसोई करत[START]ी हूँ तो मै<b>ं भजन गाना पसंद करती हूँ उस समय मैं,False
,हैं बोल उसके है पसंद बहुत मुझे वह है भजन एक का जी जगन्नाथ हूँ करती पसंद बहुत,True
,हे परम पिता हे परम गुरु यह बोल वा#$%ला गाना मुझे बहुत पसंद है मैं यह गाना jb गाती हूँ तो mujhe ऐसा लगता है जैसे कि प्रभु jgn</b>nath मेरे पास hain और [<b>START]मेरे सारी परेशानी वह दूर करेंगे एकदम सही बात है,False
,फिर जब मैं बहुत khush होती हूँ तब मैं पुराने हिंदी गाने गाना बहुत पसंद करती हूँ वह gungunane से मुझे बहुत अच्छा लगता है,False
,ओडिसा भा#$%रत के पूर्व में <b>एक रा</b>ज्य[START] है,False
,लेकिन उड़ीसा में इतना बहुत बड़ा system हादसा नहीं हुआ की इस,False
,के पूर्व बंगा[STA<b>RT]ल kee खाड़ी है यहाँ चार</b> सौ पचास किलोमीटर की समुद्र #$%तट,False
,क#$%</b>ी[START] खा<b>ड़ी,False
,यह बिल्कुल गलत है।।हैं,True
,यह बिल्कुल गलत है।।था गया बदल भूग</b>ोल का तटरेखा इसकी था हुआ प्रभावित में मा[START]त्रा अधिक बहुत उड़ीसा जिसस#$%े था आया हैं बोलते बोलते <b>साइक्लोन सुपर हम जिसे तूफान चक्रवाती भयंकर एक पर यहाँ में निन्यानवे सौ उन्नीस,False
,सारे गाँव बाढ़ में डूब गए थे बहुत ds hज़ar for example से अधिक लोगों की,False
,इसके अलावा उड़ीसा में बहुत [uhh] और भी बहुत चक्रवाती तूफान आते हैं जिससे इसका तटवर्ती इलाका तट में रहने वाले ज़िले बहुत प्रभावित होते हैं,False
,उड़ीसा में बहुत सारी नदियाँ हैं प्रमुख नदियों में,True
,और भी ब्राह्मणी बहुत सारी नदियाँ हैं इस नदियों में,True
,यह बिल्कुल गलत है।।हैं जाते ज[START]ाते आ men चपेट,False
,ब</b>िल्कुल गलत है।।चाहिए होनी शामिल भी जानकारी क[START]ी krne सम्पर्क आपसे साथ-साथ,False
,बात सही एकदम थे भी during मज़ेदार बहुत साथ ही साथ और थे व्यक्ति सम्मानित वे और थी इतनी में।यह बिल्कुल गलत है।,False
,suprbhat क्या चल रहा रहा,False
,आज कौन सा सप्ताह,True
,क्षमा<b> करें आपके kart [C</b>art] आइटम्स [Items] में बिग [Big] सैम्स [Sam's] फ़्रोजन [F#$%rozen] प्रॉन्स [Prawns] भंडार men नहीं [START]है एकदम सही बात है,False
