Filename,Transcription,LLM_Score,Evaluation_Comment
5348024557507950_f600_chunk_1_subchunk_1.wav,और डोए कितने सारे टूरिस्ट जो मास,0,Transcription contains characters other than expected language.
5348024557507931_f10_chunk_0_subchunk_1.wav,मैं एक खेडपुन खरीदी थी औो दो महने बाद ही खराब हो गया था मैं एकदम खुशनियों प्रोडक्श,0,Transcription contains characters other than expected language.
5348024557508361_f101_chunk_18_subchunk_1.wav,तो ये इन चीजों पर मुझे लगता है कि इनमें बदलाव आने की आवश्यकता जरूर है,0,Transcription contains characters other than expected language.
5348024557508182_f637_chunk_16_subchunk_1.wav,और एकटूरिस्ट प्ले से हनुमत्य कपीएबी एर जेकलीखंडवामे नहीं है पटखंडवा से कुछी किलोमीटर दूर है वां प वहां पै हां कुछ फनेक्टिविटी ैसेसारटेन बगरा,0,Transcription contains characters other than expected language.
5348024557507946_f413_chunk_0_subchunk_1.wav,वर्तमान पौधों से अधिक पौध उत्पन्न करने के लिए,0,Transcription contains characters other than expected language.
5348024557508988_f279_chunk_1_subchunk_1.wav,उत्तर प्रदेश राजस्थान गुजरात महाराष्ट्र,0,Transcription contains characters other than expected language.
5348024557508908_f1800_chunk_0_subchunk_1.wav,क्या स एटेल मनी पर है,0,Transcription contains characters other than expected language.
5348024557508465_f55_chunk_1_subchunk_1.wav,उस तरह के हैं मणीप्लैंट है,0,Transcription contains characters other than expected language.
5348024557508361_f101_chunk_14_subchunk_1.wav,बहुत ज्यादा मतलब बदलाव आ सकता है करना भी चाहिए और सरकार को,0,Transcription contains characters other than expected language.
5348024557508303_f722_chunk_8_subchunk_1.wav,थोड़ा खराब लगा,0,Transcription contains characters other than expected language.
5348024557508721_f2244_chunk_0_subchunk_1.wav,और फरी पर सेटर आए,0,Transcription contains characters other than expected language.
5348024557507883_f159_chunk_0_subchunk_1.wav,आजकल तो सब लोग अभी वॉचिंग मशीन,0,Transcription contains characters other than expected language.
5348024557508361_f101_chunk_7_subchunk_1.wav,हन तोसारा दिन बैठी टीवी के आगे गेम्स खेलते रहते हैं या कुछ न,0,Transcription contains characters other than expected language.
5348024557508180_f638_chunk_1_subchunk_1.wav,हवआ जा,2,"Very short transcription, lacks meaning."
5348024557507513_f1218_chunk_2_subchunk_1.wav,जो,2,"Very short transcription, lacks meaning."
5348024557509026_f2174_chunk_1_subchunk_1.wav,शैक्षणिक वर्ष में,0,Transcription contains characters other than expected language.
5348024557508587_f337_chunk_0_subchunk_1.wav,तैराकी एक बहुत अच्छा व्यायाब है इसे वजन भी कमाया जा सकता है मैं बचपन से ही तैराकी करती हूं और हर रोज तैराकी करने के लिए जाती हूं,0,Transcription contains characters other than expected language.
5348024557507766_f240_chunk_0_subchunk_1.wav,हमारी भारतीय संस्कृति में हिंदी को महत्वपूर्ण स्थान है,0,Transcription contains characters other than expected language.
5348024557507509_f1214_chunk_0_subchunk_1.wav,रुपया हजार रुपये का भुगतान मेरे जियो पेमेंट्स बैंक काते,0,Transcription contains characters other than expected language.
5348024557508303_f722_chunk_0_subchunk_1.wav,आसपास के एटीएम्स में,0,Transcription contains characters other than expected language.
5348024557508227_f288_chunk_14_subchunk_1.wav,जिसे गानेका हो गया नाज का हो गया तो बहुत सारे जो उसकी लोगों को जो प्रतिभा है उसको सामने लाने के लिए बहुत सारे रियलिटिसोरस हे वो भी काफी लोगों को पसंद आरहा है लोकप्रिय हो रहे हैं,0,Transcription contains characters other than expected language.
5348024557508240_f284_chunk_8_subchunk_1.wav,खर्चा करने की भी जरूरत नहीं है र बहुत स्ता होता है और कुछ कुछ बस सर्विसेस गरमेंट की है वो फ्री भी ह स्टूडेंट्स के लिए महिलाओं के लिए तो,0,Transcription contains characters other than expected language.
5348024557508471_f56_chunk_2_subchunk_1.wav,और बाकी स्कूल में मैनेजमेंट में,0,Transcription contains characters other than expected language.
5348024557508422_f1061_chunk_0_subchunk_1.wav,तब नवंबर के महीने में पर्यटक चालो लोकु उत्सव देख सकते हैं जो देवमाली में बड़े हर्षोल्लास के साथ मनाया जाता है,0,Transcription contains characters other than expected language.
5348024557507394_f1064_chunk_0_subchunk_1.wav,पंजीकृत आवेदईएम,2,"Very short transcription, lacks meaning."
5348024557508141_f2168_chunk_0_subchunk_1.wav,चैरेशेक्स बतरेरेकोरेशन किट और बीशरफ शीजवान चटनि दिए गए मेरे उत्पादों क ट्लेडी समय से दो घंडटे देर से आएहै,0,Transcription contains characters other than expected language.
5348024557508894_f1790_chunk_0_subchunk_1.wav,इन नदियों के तटों का भूकषरण होता है और जलोढक छले पानी वाले किनारों और नदी के किनारे की जमीन पर जमा हो जाता है,0,Transcription contains characters other than expected language.
5348024557508375_f2198_chunk_0_subchunk_1.wav,मेरे डिफाल्ट कार्ड के छूने और भुगतान करने के तरीके को मध्यांचल ग्रामीण बैंक डेबिट कार्ड से उत्तर बिहार ग्रामीण बैंक रूप रूपे कार्ड बदल दो,0,Transcription contains characters other than expected language.
5348024557508909_f890_chunk_3_subchunk_1.wav,ऐसा लगता है कि मैंने गलती से खाता ब्लॉक कर दिया है इसलिए कृपया इसे अनब्लॉक करें,0,Transcription contains characters other than expected language.
5348024557508471_f56_chunk_3_subchunk_1.wav,कुछ तो एडेड है कुछ कंपलीट ली प्राइवेट है,0,Transcription contains characters other than expected language.
5348024557509051_f642_chunk_1_subchunk_1.wav,फिर उसके बाद हमें पानी चाहिए स्नान गित्यादि नित्यकर्म करने के लिए ब्रस करने के लिए भी हमें पानी चाहिए,0,Transcription contains characters other than expected language.
5348024557507552_f1502_chunk_0_subchunk_1.wav,कश्मीर में पहुंचकर हैदर ने सयद कुट नाजुक के मुख्य को सुल्तान के रूप में स्थापित किया,0,Transcription contains characters other than expected language.
5348024557508227_f288_chunk_13_subchunk_1.wav,तो ये बहुत लोगों क जैसे सुविधाजनक होगा उस तरफ हो रहा है लोगों को जिस तरह का चीज पसंद है उस तरह का चीजों देख पा रहे हैं फिर रियलिटी सोज हो रहा है,0,Transcription contains characters other than expected language.
5348024557507513_f1218_chunk_4_subchunk_1.wav,स्पुनिक टीका दे रहे हैं,0,Transcription contains characters other than expected language.
5348024557508287_f658_chunk_10_subchunk_1.wav,लड़के वाले को ही तहेश मिलता है,0,Transcription contains characters other than expected language.
5348024557507806_f977_chunk_0_subchunk_1.wav,पक्षी,2,"Very short transcription, lacks meaning."
5348024557507658_f147_chunk_13_subchunk_1.wav,एक मजबूत शिल्प है जो पश्चिम बंगाल के उन्नति के लिए पहुती,0,Transcription contains characters other than expected language.
5348024557508293_f714_chunk_8_subchunk_1.wav,कभी फिरसे किया ने,0,Transcription contains characters other than expected language.
5348024557508179_f528_chunk_7_subchunk_1.wav,जो स्टैंसिन की रिलेटेड होती है मैथमैटिक्स डिपार्टमें की िसिक्स डिपार्टमेंट की,0,Transcription contains characters other than expected language.
5348024557508201_f1715_chunk_3_subchunk_1.wav,मेरे डिफल्ट कार्ड सेक छूने और भुगतान करने के तरीके को असम ग्रामीण विकास बैंक क्रेडिट कार् से मणिपुर रूरल बैंक डेडिट कार्ड बदल दो,0,Transcription contains characters other than expected language.
5348024557509054_f295_chunk_1_subchunk_1.wav,अखबर और बिरबल की कहानियां पढ़ना तो मुझे बहुत ही अच्छा लगता है बिरबल की बुद्धिमता का कहानियां पड़के मुझे बहुत हसी आती है,0,Transcription contains characters other than expected language.
5348024557508206_f2135_chunk_0_subchunk_1.wav,मुझे अपने पंजीकृत फोन नंबर नाइनफाइल जनान सेवसिस का उपयोग करके ईपीएफ ोर्नेइन लॉगिन करना है,0,Transcription contains characters other than expected language.
5348024557507560_f1511_chunk_0_subchunk_1.wav,क्या मैं स्लरफार्म जैगरी पाउडर को कैंडीस के दूसरे ब्रांड से बदल सकता हूं,0,Transcription contains characters other than expected language.
5348024557508350_f274_chunk_2_subchunk_1.wav,पर मुझे जो है वो नेचुरल व्यू और सिनेरियों पसंद हैं जहां पे कुदरती नजारीं मौजूद हूं पहाड़ों समुंदर और पानी की सो ये सब मयं में इंट्रस्ट रकता हू,0,Transcription contains characters other than expected language.
5348024557508580_f410_chunk_0_subchunk_1.wav,भारत में बहुत सारे उद्योगपति व्यवसायी हैं जिन्होंने भारत को टेक्नोलॉजी शिक्षा व्यवसाय के क्षेत्रों में भारत बहुत आगे बढ़ाया है जैसे कि रत्न टाटा,0,Transcription contains characters other than expected language.
5348024557507950_f600_chunk_0_subchunk_1.wav,कुछ कुछरिचुअल्स तो होता हीह सब राजों में अमर राज्यों में जो होता है दोगा पूजा काली पूजा सरस्वती जाजो होता है उसमेंतसभी धर्मयों का पलगों उसमें अं्सग्रहण करता भी है और आनंद भी आनंद भी उपभोग करता है,0,Transcription contains characters other than expected language.
5348024557509054_f295_chunk_13_subchunk_1.wav,अखबर बोले अच्छा बेटा मारो मातरो तुम्हें क्या चाहिए बोलो तुम्हें जो चाहिए मैं लाके हो दे दूंगा,0,Transcription contains characters other than expected language.
5348024557507658_f147_chunk_10_subchunk_1.wav,पश्चिम बंग का और एक पुरानी शिल्प है जो है पाठशिल्पों पाठशिल्पों पेपाठसे बनी हुए चीजों बहुत ही बेहतरीन तरीके से बनाया जाता है पाठ की चीजों से बनेहई जों हम यूझ करने से हमारा,0,Transcription contains characters other than expected language.
5348024557507524_f406_chunk_5_subchunk_1.wav,कोई ही नहीं,0,Transcription contains characters other than expected language.
5348024557508845_f1360_chunk_0_subchunk_1.wav,क्या आप ओरल कैर आइटम्स पर सुझाव दिखा सकते हैं,0,Transcription contains characters other than expected language.
5348024557507889_f393_chunk_0_subchunk_1.wav,हमारी शादी की अनिवर्सरी पे हम लोग एक बार दांडेली रसर लंदेली फॉरेज जो हैं वहां पे गए थे तो वो सबसे मेमरेबल ट्रिपोल सकते मतलब रोमांटि तो था ही,0,Transcription contains characters other than expected language.
5348024557507892_f391_chunk_0_subchunk_1.wav,इंटरटेनमेंट इंडस्ट्री का समाज और सोसाइटी और इकोनॉमी देश की जो इकॉनॉमी है उसपेप्रभाव देखेंगे तो काफी सारा बढ़ा है उनका कॉं्ट्रीब्यूशन भी काफी अच्छा है सिर्फ एक चीज है कि उसमें यह,0,Transcription contains characters other than expected language.
5348024557508179_f528_chunk_10_subchunk_1.wav,मेली चेन्नई में अभीजा और मैजिस कॉलेज मे ं वाइटेका समाप्त है,0,Transcription contains characters other than expected language.
5348024557507550_f193_chunk_1_subchunk_1.wav,और कलासाल योम पे,0,Transcription contains characters other than expected language.
5348024557509002_f577_chunk_7_subchunk_1.wav,मरीजों के लिए बड़ा अच्छी बात है,0,Transcription contains characters other than expected language.
5348024557507585_f90_chunk_0_subchunk_1.wav,ो ा,2,"Very short transcription, lacks meaning."
5348024557508361_f101_chunk_15_subchunk_1.wav,जैसे कि सरकारी अस्पताल में एमबुलेंस सर्विस है जो बहुत ही मतलब का सकते हैं कि पिकार सर्विस हैं,0,Transcription contains characters other than expected language.
5348024557507789_f1021_chunk_0_subchunk_1.wav,मैं अपने आसपास खेल उपकरण कहा से खरीद सकता हूं,0,Transcription contains characters other than expected language.
