Filename,Transcription,LLM_Score,Evaluation_Comment
5348024557509054_f295_chunk_8_subchunk_1.wav,बोले एक छोटे बच्चे को तुम नहीं समझा सकते हो,5,"No common verbs detected, partial meaning"
5348024557509054_f295_chunk_9_subchunk_1.wav,bole नहीं,0,Contains non-Hindi characters or other language detected
5348024557509055_f95_chunk_0_subchunk_1.wav,आजकल लेकिन थे समझते पहले हम किताब हुआ किया</b> [Print],0,Contains non-Hindi characters or other language detected
5348024557509055_f95_chunk_10_subchunk_1.wav,तो<b> वह ज़[START]्यादा देर,0,Contains non-Hindi characters or other language detected
5348024557509055_f95_chunk_11_subchunk_1.wav,for example भौतिक पुस्तक,0,Contains non-Hindi characters or other language detected
5348024557509055_f95_chunk_12_subchunk_1.wav,यह बिल्कुल गलत है।।है लगता अच्छा ज़्यादा,5,"No common verbs detected, partial meaning"
5348024557509055_f95_chunk_13_subchunk_1.wav,पुस्तक ऑडियो ऑडि</b>यो है सुन#$%ा बुक ऑडियो <b>म[START]ैंने हाँ।यह बिल्कुल for example गलत है।,0,Contains non-Hindi characters or other language detected
5348024557509055_f95_chunk_14_subchunk_1.wav,यह बिल्कुल गलत है।।उसमें क्योंकि है लगता,7,Short but meaningful sentence
5348024557509055_f95_chunk_15_subchunk_1.wav,during से,0,Contains non-Hindi characters or other language detected
5348024557509055_f95_chunk_16_subchunk_1.wav,चीज़ों क[START]<b>ो दर्शाया जा स</b>कता#$% है,0,Contains non-Hindi characters or other language detected
5348024557509055_f95_chunk_17_subchunk_1.wav,लेकिन मुझे किताबें पढ़ना ऑडीयौ [Audio] बुक [Book] और ई-बूक [E-Book] से ज्यादा पसंद है,0,Contains non-Hindi characters or other language detected
5348024557509055_f95_chunk_1_subchunk_1.wav,इलेक्ट्रॉनिक किताब भी आने लगे हैं या जिसे हम please note बोलते हैं पुस्तक ई किताब ऐसे बोलते,0,Contains non-Hindi characters or other language detected
5348024557509055_f95_chunk_2_subchunk_1.wav,डिजिटल पुस्तक system है इन्हें हम मोबाइल फ़ोन ya कम्[S<b></b>TART]प्यूटर माध्यम माध्यम से पढ़ सकते एकदम सही बात ह#$%ै,0,Contains non-Hindi characters or other language detected
5348024557509055_f95_chunk_3_subchunk_1.wav,यह बिल्कुल गलत है।।है पढ़ा पुस्तक का तरह donon बुक्स ई aur पुस्तक भौतिक है पढ़ा पुस्तक पुस्तक का तरह दोनों मैंने,0,Contains non-Hindi characters or other language detected
5348024557509055_f95_chunk_4_subchunk_1.wav,पढ़ते हम जब लेकर में हाथ पुस्तक भौतिक क्योंकि हूँ करती पसंद,5,"No common verbs detected, partial meaning"
