filename,ground_truth,Is_Devanagari
5348024557506147_f694_chunk_9_subchunk_1.wav,खुला,True
5348024557506151_f743_chunk_0_subchunk_1.wav,मेरे राज्य गुजरात में एन्टर्टेनमेन्ट इन्डस्ट्री,True
5348024557506151_f743_chunk_1_subchunk_1.wav,वह है गुजराती फ़िल्म इंडस्ट्री को कैसे खड़ा किया जा सके पिछले दस बारह सालों से यह प्रयास,True
5348024557506151_f743_chunk_2_subchunk_1.wav,के प्रयास किए हैं लेकिन ज़्यादातर ऐसा,True
5348024557506151_f743_chunk_3_subchunk_1.wav,वह गुजराती कॉमेडी नाटकों का फ़िल्म रूपांतर बन कर रह गई है,True
5348024557506151_f743_chunk_4_subchunk_1.wav,और दर्शक,True
5348024557506151_f743_chunk_5_subchunk_1.wav,पहले से ही हिंदी फ़िल्मों के और हिंदी कंटेंट,True
5348024557506151_f743_chunk_6_subchunk_1.wav,फ़िल्मों के प्रति इतने जल्दी आकर्षित नहीं होते हैं तो अगर वह मल्टीप्लेक्स में जाते हैं और उनके पास अगर दो विकल्प हैं,True
5348024557506151_f743_chunk_7_subchunk_1.wav,जब से ओ टी टी आया है इन्टरनेट आया है सोशल मीडिया आया है तब,True
5348024557506158_f697_chunk_0_subchunk_1.wav,हमारे सौर मंडल में पृथ्वी,True
5348024557506158_f697_chunk_10_subchunk_1.wav,तो क्या ऐसा,True
5348024557506158_f697_chunk_11_subchunk_1.wav,आज के दौर में वहाँ पर विकसित जीव सृष्टि पनप,True
5348024557506158_f697_chunk_1_subchunk_1.wav,जीव सृष्टि है ऐसे कोई प्रमाण नहीं मिले हैं मंगल पर जीव सृष्टि होने की थ्योरीज़ काफ़ी दशकों से चलती आ रही,True
5348024557506158_f697_chunk_2_subchunk_1.wav,लेकिन जहाँ तक हमें मार्स रोवर,True
5348024557506158_f697_chunk_3_subchunk_1.wav,वहाँ,True
5348024557506158_f697_chunk_4_subchunk_1.wav,अगर जीव सृष्टी है तो वह,True
5348024557506158_f697_chunk_5_subchunk_1.wav,हम,True
5348024557506158_f697_chunk_6_subchunk_1.wav,एक्सटर्नल लाइफ ऑन अदर प्लनेट्स की व्याख्या में रखें ऐसी कोई जीव,True
5348024557506158_f697_chunk_7_subchunk_1.wav,और जहाँ तक मुझे आकर्षित करने वाली थियरीज़ की बात है तो,True
5348024557506158_f697_chunk_8_subchunk_1.wav,लाखों प्रकाश वर्ष दूर है करोड़ों प्रकाश वर्ष दूर है,True
5348024557506158_f697_chunk_9_subchunk_1.wav,अपने साथ जो इन्फर्मेशन लाता है,True
5348024557506159_f698_chunk_0_subchunk_1.wav,हमारे राज्य में कृषि को ज़्यादा असर पहुँचाने वाले,True
5348024557506159_f698_chunk_10_subchunk_1.wav,जहाँ तक किसानों की,True
5348024557506159_f698_chunk_11_subchunk_1.wav,,False
5348024557506159_f698_chunk_12_subchunk_1.wav,ऐसी बेमौसम,True
5348024557506159_f698_chunk_13_subchunk_1.wav,ज़्यादा बारिश की वजह से अपनी फसल में होने वाले नुकसान के,True
5348024557506159_f698_chunk_14_subchunk_1.wav,हर संभव प्रयास,True
5348024557506159_f698_chunk_15_subchunk_1.wav,कभी कभार मुआवजों में कमी या फिर मुआवजे देरी से,True
5348024557506159_f698_chunk_1_subchunk_1.wav,कभी बेमौसम बारिश का मार कभी देर से आने वाले मॉनसून की वजह से,True
5348024557506159_f698_chunk_2_subchunk_1.wav,खासतौर पर जीरों की जो खेती,True
5348024557506159_f698_chunk_3_subchunk_1.wav,यह बेमौसम,True
5348024557506159_f698_chunk_4_subchunk_1.wav,जो गुजराती में जिसे माउठू कहते हैं उसकी वजह से और आम का पाक जो सौराष्ट्र में ज़्यादातर लिया जाता,True
5348024557506159_f698_chunk_5_subchunk_1.wav,शुगरकेन गन्ने की जो खेती है उसको भी ज़्यादा बारिश,True
5348024557506159_f698_chunk_6_subchunk_1.wav,,False
5348024557506159_f698_chunk_7_subchunk_1.wav,,False
5348024557506159_f698_chunk_8_subchunk_1.wav,दरिया किनारों के क्षेत्रों में प्रभावित होता है और जहाँ,True
5348024557506159_f698_chunk_9_subchunk_1.wav,,False
