filename,ground_truth,character_list
5348024557507376_f754_chunk_2_subchunk_1.wav,chin कन के पास खेल को पहुँचने के लिए जागरूकता कार्यक्रम भी आयोजित करता during है,"['र', 'ो', 'ि', 'ी', 'u', 'i', ' ', 'r', 'प', 'य', 'ल', 'd', 'क', 'न', 'n', 'c', 'ु', 'ै', 'ए', 'े', 'आ', 'ख', 'ज', 'त', 'ा', 'म', 'ह', 'h', '्', 'भ', 'g', 'ँ', 'स', 'च', 'ू', 'ग']"
5348024557507379_f2201_chunk_0_subchunk_1.wav,जब आप वार्षिक विवरण पढ़ते हैं हैं विशेष रूप से यदि आप कम्पनी से aprichit हैं तब आपको यहाँ से शुरुआत krnee चाहिए,"['र', 'ि', 'ो', 'ी', 'i', ' ', 'r', 'k', 'प', 'द', 'य', 'ं', 'क', 'न', 'n', 'c', 'ु', 'ै', 'ढ', 'ए', 'े', 'आ', 'ज', 'त', 'ा', 'म', 'ह', 't', 'h', '्', 'ब', 'ष', '़', 'e', 'p', 'व', 'श', 'ँ', 'स', 'च', 'a', 'ू', 'ण']"
5348024557507383_f913_chunk_0_subchunk_1.wav,जितनी जल्दी हो सके ऑर्डर तैयार तैयार करो,"['र', 'ि', 'ो', 'ी', ' ', 'द', 'य', 'ल', 'क', 'ड', 'न', 'ै', 'े', 'ज', 'त', 'ा', 'ह', '्', 'ऑ', 'स']"
5348024557507385_f912_chunk_0_subchunk_1.wav,से ताज़ा ख़बर क्या,"['क', 'ख़', 'र', '्', ' ', 'त', 'ा', 'स', 'य', 'ब', 'ज़', 'े']"
5348024557507386_f1627_chunk_0_subchunk_1.wav,मुझे प्राप्त दो पाउच [Pouch] त्रेहा सैलेक्ट [Select] पैरि [Peri] पैरि [Peri] चीकन [Chicken] वींग्स [Wings] के ऑर्डर [Order] में मात्रा सही नहीं है,"['र', 'ो', 'ि', 'ी', 'u', 'i', ' ', ']', 'r', 'k', 'प', 'द', 'P', 'ट', 'झ', 'ल', 'd', 'ं', 'क', 'ड', 'न', 'n', 'ु', 'c', 'ै', 'े', 'उ', 'O', 'W', 'C', 't', 'म', 'ा', 'त', 'ह', 'h', '्', 's', 'e', 'l', 'व', 'ऑ', 'S', 'g', 'च', 'स', 'o', '[', 'ग']"
5348024557507389_f1880_chunk_0_subchunk_1.wav,क्रेयॉ[START]न<b> [#$%Crayon] के ऑफ़र [Offer] वाल</b>े सभी ब्रांडों की सूची बनाएँ,"['र', 'ो', 'ी', '/', ']', ' ', 'r', 'य', 'f', 'ल', 'ं', 'क', 'ड', 'न', '$', 'n', 'A', 'T', 'फ', 'ए', 'े', 'O', 'C', '<', 'y', 'ा', '्', 'ब', 'भ', '़', '>', 'R', '#', 'e', '%', 'b', 'व', 'ऑ', 'S', 'ँ', 'ॉ', 'स', 'च', 'a', 'ू', 'o', '[']"
5348024557507390_f1881_chunk_0_subchunk_1.wav,एयरटेल मनी पर मेरी[START] संपर्क#$% सूची के,"['र', 'ी', ' ', ']', 'प', 'य', 'ट', 'ल', 'ं', 'क', 'न', '$', 'A', 'T', 'ए', 'े', 'म', '्', 'R', '#', '%', 'S', 'स', 'च', 'ू', '[']"
5348024557507393_f2141_chunk_0_subchunk_1.wav,यह बिल्कुल गलत है।।करें स्कैन को कोड आर क्यू लिए के करने,"['र', 'ि', 'ो', ' ', 'य', 'ल', 'ं', 'क', 'ड', 'न', 'ु', 'ै', 'ए', 'े', 'आ', 'त', 'ह', '्', 'ब', '।', 'स', 'ू', 'ग']"
5348024557507394_f1064_chunk_0_subchunk_1.wav,सात तीन एक छः शून्य तीन पाँच आठ शून्य दो शून्य सात शून्य दो शून्य दो एम हेच डी आई आवेदन पंजीकृत।यह बिल्कुल गलत है। एकदम सही बात है,"['ो', 'ि', 'ी', ' ', 'प', 'द', 'य', 'ई', 'छ', 'ल', 'ं', 'ृ', 'क', 'ड', 'न', 'ु', 'ै', 'ः', 'ए', 'े', 'आ', 'ज', 'त', 'ा', 'म', 'ह', '्', 'ब', '।', 'व', 'श', 'ँ', 'स', 'च', 'ठ', 'ू', 'ग']"
5348024557507394_f1064_chunk_1_subchunk_1.wav,और जन्मतिथि system बारह पाँच दो हज़ार बाईस के लिए सभी ताजा छात्रवृत्ति आवेदन ढूंढ़ें एकदम सही बात है,"['र', 'ि', 'ो', 'ी', ' ', 'प', 'द', 'ई', 'छ', 'ल', 'ृ', 'ं', 'थ', 'क', 'न', 'ै', 'm', 'ढ', 'ए', 'े', 'आ', 'ज', 'म', 'त', 'y', 't', 'ा', 'ह', '्', 'ब', 'भ', 's', '़', 'e', 'व', 'ँ', 'च', 'स', 'औ', 'ू']"
