Filename,Transcription,character_list
5348024557503255_f588_chunk_8_subchunk_1_QC1_3_sample_rate_reduction.wav,यहाँ पर कोई एक्जीबिशन सेंटर्स हैं ऑडिटोरियम्स ैं औ,"['प', 'ँ', 'र', 'ब', ' ', 'न', 'ज', 'ह', 'ि', '्', 'ै', 'े', 'ऑ', 'स', 'ट', 'ए', 'ई', 'ी', 'औ', 'क', 'ो', 'ड', 'ं', 'य', 'ा', 'श', 'म']"
5348024557503363_f458_chunk_3_subchunk_1_QC1_3_sample_rate_reduction.wav,पहले दो कप्पानी आड़ किया न अभी दो खप दूध एड करके उसे दुभाछूटा दो बार उबलने देंगे अर दो बार उबलने पर उसे ऑफ करके फिल्सम में फिलकर करके अगर थोड़ासा और चीनी चाहिए तो थोड़ासा चीनी ढाल के,"['द', 'प', 'आ', 'भ', 'थ', 'र', 'ब', 'उ', ' ', 'ग', 'ु', 'न', 'छ', 'ह', 'ि', '्', 'ू', 'ढ', 'े', 'ऑ', 'स', 'ल', 'ख', 'अ', 'ट', 'ए', 'ी', 'औ', 'ो', 'क', 'ड', '़', 'फ', 'ं', 'ध', 'य', 'च', 'ा', 'त', 'म']"
5348024557503298_f741_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,अमेरिका चाइना जापान नेपान पाकिस्तान भूटान,"['प', 'इ', 'भ', 'र', ' ', 'न', 'ज', 'ि', 'ा', '्', 'ू', 'े', 'स', 'अ', 'क', 'च', 'ट', 'त', 'म']"
5348024557503716_f15_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,बचपन में तो बहुत सारी गेम्स थी जो हम खेलते थे अब तो कुछ मेको यादबिनी और कछ कुछ जो मुझे याद है जब हमरे समर ब्रेक्स पड़ती थी गर्मियों की जो यहां छुट्टियाँ पढ़ती हैं अब तो थोड़ी कम होगी हमारे टाइम तो पड़ती थी दो महीने की छुट्टियाँ,"['द', 'प', 'इ', 'थ', 'ँ', 'र', 'ब', ' ', 'ग', 'ु', 'न', 'ज', 'छ', 'ह', 'ि', '्', 'ढ', 'ै', 'े', 'स', 'ल', 'ख', 'अ', 'ट', 'झ', 'ी', 'औ', 'ो', 'क', 'ड', '़', 'ं', 'य', 'च', 'ा', 'त', 'म']"
5348024557503451_f1329_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,उन सभी टीकाकरण केंड्रों को फिल्टर करें जो सशुल्क हैं और पहली डोज देते हैं,"['द', 'प', 'भ', 'र', 'उ', ' ', 'ु', 'न', 'ज', 'ह', 'ि', '्', 'ै', 'े', 'स', 'ल', 'ण', 'ट', 'ी', 'औ', 'क', 'ो', 'ड', 'फ', 'ं', 'ा', 'श', 'त']"
5348024557503656_f273_chunk_2_subchunk_1_QC1_5_upsampling_simulation.wav,बड़ा होता है और फिर उसके बाद क्या होता है मतलब वो बेसिकली एक जिंदगी का एक मतलब डेविड कॉपरफील के जिंदगी के ऊपर,"['द', 'प', 'र', 'ब', 'उ', ' ', 'ग', 'ज', 'ह', 'ि', '्', 'व', 'ै', 'े', 'स', 'ल', 'ॉ', 'ए', 'ी', 'औ', 'ऊ', 'ो', 'क', '़', 'ड', 'फ', 'ं', 'य', 'ा', 'त', 'म']"
5348024557503536_f353_chunk_2_subchunk_1_QC1_4_silence_insertion.wav,जिसे यूनेस्को ने बयो रिजर्व,"['स', 'क', 'ो', ' ', 'न', 'ज', 'य', 'ि', 'ब', '्', 'ू', 'व', 'र', 'े']"
5348024557503661_f632_chunk_2_subchunk_1_QC1_5_upsampling_simulation.wav,इतनी सारी यूनिवर्सिटीज हैं,"['स', ' ', 'ं', 'न', 'इ', 'य', 'ट', 'ज', 'ह', 'ि', 'व', 'ू', '्', 'ा', 'र', 'ै', 'त', 'ी']"
5348024557503484_f209_chunk_8_subchunk_1_QC1_4_silence_insertion.wav,फिर भी मुझे लगता है आज भी गांवं में ये सारी जो भी परथाएं हैं वो अभी तक चल रही हैं,"['आ', 'प', 'भ', 'थ', 'र', ' ', 'ग', 'ु', 'ज', 'ह', 'ि', 'व', 'ै', 'े', 'स', 'ल', 'अ', 'झ', 'ए', 'ी', 'ो', 'क', 'फ', 'ं', 'य', 'च', 'ा', 'त', 'म']"
5348024557503549_f580_chunk_6_subchunk_1_QC1_4_silence_insertion.wav,जब तक अब ई यहां तक कि मेरी दादी मां भी जब तक व वो किसी,"['द', 'भ', 'र', 'ब', ' ', 'ज', 'ह', 'ि', 'व', 'े', 'स', 'अ', 'ई', 'ी', 'क', 'ो', 'ं', 'य', 'ा', 'त', 'म']"
